"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Footprint_Short","MFG Part #","Datasheet","Description"
"R12,R13","2","0.143","","","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","2512","RLC73PW3AR143FTDG","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/RLC73PW3AR143FTDG/19237034","Confirmed 12"
"R14,R16","2","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","0805","CR0805-J/-000ELF","https://www.digikey.com/en/products/detail/bourns-inc/CR0805-J-000ELF/3593157","Confirmed - 25"
"R21,R22","2","620","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","0805","RC0805FR-07620RL","https://www.digikey.com/en/products/detail/yageo/RC0805DR-07100RL/22200903","Confirmed - 25"
"R23","1","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","0805","AC0805FR-07330RL","https://www.digikey.com/en/products/detail/yageo/AC0805FR-07330RL/5896770","Confirmed - 25"
"R24","1","4700","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","0805","AC0805FR-074K7L","https://www.digikey.com/en/products/detail/yageo/AC0805FR-074K7L/5896876","Confirmed - 25"
"R25","1","1500","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","0805","RC0805JR-071K5L","https://www.digikey.com/en/products/detail/yageo/RC0805JR-071K5L/728230","Confirmed - 25"
"U2","1","SN74LVC2T45","","","","Package_SO:SSOP-8_2.95x2.8mm_P0.65mm","8-VFSOP","SN74LVC2T45DCUR","https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC2T45DCUR/657833","(Logic Level Shifter) Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs, VSSOP-8"
"U3,U4,U7","3","TPD2E2U06DCK","","","","Package_TO_SOT_SMD:SOT-323_SC-70","SC-70, SOT-323","TPD2E2U06DCKR","http://www.ti.com/lit/ds/symlink/tpd2e2u06.pdf","Dual-Channel High-Speed ESD Protection, SC-70"
"U5,U6","2","DRV8251","","","","Package_SO:TI_SO-PowerPAD-8","8-PowerSOIC","DRV8251DDAR","https://www.digikey.com/en/products/detail/texas-instruments/DRV8251DDAR/15857248","(Motor Driver) DRV8251DDAR"
"U8","1","Servo Headers","","","","Custom_Parts:03x04 Generic Pin Header","3x12 2.54mm","TSW-104-07-L-T","https://www.digikey.com/en/products/detail/samtec-inc/TSW-104-07-L-T/6692021","Confirmed - 5"
"U9","1","TPS56528DDA","","","","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","8-PowerSOIC","TPS56528DDAR","https://www.digikey.com/en/products/detail/texas-instruments/TPS56528DDAR/4037191","5A Synchronous Step-Down Voltage Regulator, Adjustable Output Voltage 0.6-7V, 4.5-18V Input Voltage, SO-8EP"
"U11","1","TCAN332GDR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","SOIC8 3.9mm","TCAN332GDR","https://www.digikey.com/en/products/detail/texas-instruments/TCAN332GDR/6572321","High-Speed CAN Transceiver with CAN FD, 5Mbps, 3.3V supply, SOT-23-8/SOIC-8"
